NOTE TO SELF: THE POPULARITY IS LISTED USING THE SAME ENUM AS THE RARITY BUT IS INVERTED IN MEANING, BECAUSE APPARENTLY I AM A PSYCHOPATH. SO THE ADEPT ESSENCE IS ONE OF THE MOST SOUGHT-AFTER (I.E. POPULAR) ESSENCES SO IT IS LISTED AS LEGENDARY

mysql> select name, rarity, popularity, description from essences where popularity is not null;
+------------+-----------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| name       | rarity    | popularity | description                                                                                                                                                                                                                                              |
+------------+-----------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Adept      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Ape        | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Armour     | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Axe        | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Balance    | uncommon  | legendary  | NULL                                                                                                                                                                                                                                                     |
| Bat        | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Bear       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Bee        | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Bird       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Blight     | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Blood      | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Bone       | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Bow        | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Cage       | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Cat        | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Cattle     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Chain      | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Claw       | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Cloth      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Cloud      | uncommon  | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Cold       | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Coral      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Crocodile  | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Crystal    | rare      | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Dance      | uncommon  | epic       | NULL                                                                                                                                                                                                                                                     |
| Dark       | uncommon  | legendary  | NULL                                                                                                                                                                                                                                                     |
| Deep       | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
| Deer       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Dimension  | legendary | legendary  | NULL                                                                                                                                                                                                                                                     |
| Discord    | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Dog        | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Duck       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Dust       | uncommon  | common     | NULL                                                                                                                                                                                                                                                     |
| Earth      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Echo       | rare      | rare       | NULL                                                                                                                                                                                                                                                     |
| Elemental  | epic      | legendary  | NULL                                                                                                                                                                                                                                                     |
| Eye        | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Feast      | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Feeble     | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Fire       | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Fish       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Flea       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Flesh      | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Foot       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Fork       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Fox        | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Frog       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Fungus     | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Gathering  | rare      | legendary  | NULL                                                                                                                                                                                                                                                     |
| Glass      | uncommon  | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Goat       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Grazen     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Growth     | uncommon  | epic       | NULL                                                                                                                                                                                                                                                     |
| Hair       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Hammer     | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Hand       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Harmonic   | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Heidel     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Hook       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Hunger     | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
| Hunt       | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Ice        | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Iron       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Knife      | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Knowledge  | uncommon  | epic       | NULL                                                                                                                                                                                                                                                     |
| Life       | uncommon  | legendary  | NULL                                                                                                                                                                                                                                                     |
| Light      | uncommon  | legendary  | NULL                                                                                                                                                                                                                                                     |
